2025-05-24 17:21:18: 28-0317320a8aff, temperature: 25.062

2025-05-24 17:21:21: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:24: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:27: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:30: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:33: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:36: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:39: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:42: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:45: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:48: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:51: 28-0317320a8aff, temperature: 25.062

2025-05-24 17:21:54: 28-0317320a8aff, temperature: 25.125

2025-05-24 17:21:57: 28-0317320a8aff, temperature: 25.062

2025-05-24 17:22:00: 28-0317320a8aff, temperature: 25.125


